pruning_score_type,dataset_name,num_classes,model_name,encryption_mode,device,global_epoch,local_epoch,num_clients,models_percentage,learning_rate,batch_size,aggregation_algorithm,fedprox_mu,pruning_threshold,image_size,num_custom_layers,worker_id,execution_phase,best_round,best_f1,best_acc,best_prec,best_recall,best_loss,total_duration_sec,round_dataframe_path,pruning_num_clients,pruning_avg_train_reduction_pct,pruning_min_train_reduction_pct,pruning_max_train_reduction_pct,pruning_total_train_before,pruning_total_train_after,pruning_total_valid_preserved
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedLC,0.05,0.5,224,2,0,Pre-Pruning,13,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.1226364749929179,470.84963512420654,csv\Cropped_ROI\20260306-181815_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedLC,0.05,0.5,224,2,0,Post-Pruning,14,0.9161138036263056,0.9184782608695652,0.9272328996566144,0.9184782608695652,0.2079441122022336,383.6295897960663,csv\Cropped_ROI\20260306-182454_Cropped_ROI_worker_0.csv,2.0,51.63,50.61,52.66,827.0,400.0,92.0
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedLC,0.05,1.0,224,2,0,Pre-Pruning,7,0.9674281146799604,0.967391304347826,0.9679347826086956,0.967391304347826,0.1309767359786707,487.9690878391266,csv\Cropped_ROI\20260306-184110_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedLC,0.05,1.0,224,2,0,Post-Pruning,14,0.9338221295514708,0.9347826086956522,0.939571959750675,0.9347826086956522,0.1834335373309643,462.29497170448303,csv\Cropped_ROI\20260306-184910_Cropped_ROI_worker_0.csv,2.0,12.23,11.38,13.08,826.0,725.0,92.0
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedAvg,0.05,0.5,224,2,0,Pre-Pruning,12,0.9836235444931096,0.9836956521739132,0.9837819185645272,0.9836956521739132,0.0779138708730106,498.6551976203919,csv\Cropped_ROI\20260306-185741_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedAvg,0.05,0.5,224,2,0,Post-Pruning,19,0.9673856736202922,0.967391304347826,0.9678571428571427,0.967391304347826,0.1369028217766596,341.4616479873657,csv\Cropped_ROI\20260306-190338_Cropped_ROI_worker_0.csv,2.0,73.12,71.91,74.33,826.0,222.0,92.0
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedAvg,0.05,1.0,224,2,0,Pre-Pruning,12,0.9728020510629208,0.9728260869565216,0.9730201863354035,0.9728260869565216,0.1329251188460899,498.2613031864166,csv\Cropped_ROI\20260306-191208_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedAvg,0.05,1.0,224,2,0,Post-Pruning,10,0.9565161084029008,0.9565217391304348,0.9569875776397516,0.9565217391304348,0.1202825797802728,479.0107479095459,csv\Cropped_ROI\20260306-192021_Cropped_ROI_worker_0.csv,2.0,8.82,8.47,9.18,827.0,754.0,92.0
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedProx,0.05,0.5,224,2,0,Pre-Pruning,15,0.9671275665840884,0.967391304347826,0.9682645546974412,0.967391304347826,0.0892535530678604,503.57652711868286,csv\Cropped_ROI\20260306-192857_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedProx,0.05,0.5,224,2,0,Post-Pruning,15,0.9455469389329112,0.9456521739130436,0.9478203206089264,0.9456521739130436,0.1885171940185777,464.1299738883972,csv\Cropped_ROI\20260306-193657_Cropped_ROI_worker_0.csv,2.0,29.61,15.25,43.96,827.0,582.0,92.0
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedProx,0.05,1.0,224,2,0,Pre-Pruning,11,0.9836235444931096,0.9836956521739132,0.9837819185645272,0.9836956521739132,0.1292277954356825,499.7537896633148,csv\Cropped_ROI\20260306-194530_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.01,16,FedProx,0.05,1.0,224,2,0,Post-Pruning,18,0.9399529964747356,0.9402173913043478,0.9403683574879228,0.9402173913043478,0.1167463339541269,471.66148805618286,csv\Cropped_ROI\20260306-195335_Cropped_ROI_worker_0.csv,2.0,10.52,9.18,11.86,827.0,740.0,92.0
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.001,16,FedLC,0.05,0.5,224,2,0,Pre-Pruning,13,0.9945411814977032,0.9945652173913044,0.9947593167701864,0.9945652173913044,0.0309922356252133,499.2398235797882,csv\Cropped_ROI\20260306-200207_Cropped_ROI_worker_0.csv,,,,,,,
influence,Cropped_ROI,2,ResNet18,no_encryption,cuda,20,3,4,0.5,0.001,16,FedLC,0.05,0.5,224,2,0,Post-Pruning,16,0.9779671376925382,0.9782608695652174,0.980085403726708,0.9782608695652174,0.0618741337916024,488.486891746521,csv\Cropped_ROI\20260306-201029_Cropped_ROI_worker_0.csv,2.0,2.66,2.18,3.14,827.0,805.0,92.0
